round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-05-28-1M,anthropic-claude-opus-4-7,anthropic,1,SEMICONDUCTORS,3500,35.0,1,0.019638873266696333,0.006873605643343716,"Strongest momentum (+22% 30d), SIA chip sales +25% QoQ, AI capex set to grow 75% in 2026."
CB-2026-05-28-1M,anthropic-claude-opus-4-7,anthropic,1,TECHNOLOGY,2500,25.0,2,-0.029570117438659782,-0.0073925293596649455,Leading sector with strong AI-driven earnings tailwind and momentum into June FOMC hold.
CB-2026-05-28-1M,anthropic-claude-opus-4-7,anthropic,1,AEROSPACE_DEFENSE,1500,15.0,3,0.005829059594433694,0.0008743589391650541,"FY2027 defense budget request +28%, strong 7d/30d momentum, geopolitical bid."
CB-2026-05-28-1M,anthropic-claude-opus-4-7,anthropic,1,GOLD,1500,15.0,4,-0.09492850740520453,-0.014239276110780678,Hedge against sticky 3.8% CPI and geopolitical risk; spot near record highs.
CB-2026-05-28-1M,anthropic-claude-opus-4-7,anthropic,1,MOMENTUM,1000,10.0,5,0.036356512384710715,0.0036356512384710716,"Factor with strongest trailing performance, likely to persist through June FOMC."
CB-2026-05-28-1M,anthropic-claude-opus-4-8,anthropic,1,SEMICONDUCTORS,3500,35.0,1,0.019638873266696333,0.006873605643343716,"Strongest momentum (5.6% 7d, 22% 30d) backed by 79% YoY chip sales growth and massive AI capex acceleration; leadership likely to persist through window."
CB-2026-05-28-1M,anthropic-claude-opus-4-8,anthropic,1,MOMENTUM,2500,25.0,2,0.036356512384710715,0.009089128096177679,Momentum factor up 14% in 30d with broad trend persistence; lower single-name risk than thematic plays while capturing the leading equity trend.
CB-2026-05-28-1M,anthropic-claude-opus-4-8,anthropic,1,TECHNOLOGY,2000,20.0,3,-0.029570117438659782,-0.005914023487731956,Tech sector up 18% in 30d with AI infrastructure and software pricing tailwinds; Fed on hold removes near-term rate risk for growth.
CB-2026-05-28-1M,anthropic-claude-opus-4-8,anthropic,1,TAIWAN,1000,10.0,4,0.004592510832458041,0.0004592510832458041,Semiconductor supply-chain leverage with 8.3% 7d momentum; benefits from same AI chip demand cycle as SMH.
CB-2026-05-28-1M,anthropic-claude-opus-4-8,anthropic,1,GOLD,1000,10.0,5,-0.09492850740520453,-0.009492850740520455,Hedge against sticky 3.8% PCE inflation and risk-off into the June 16-17 FOMC; near-record gold price provides ballast if growth equities wobble.
CB-2026-05-28-1M,google-gemini-3-1-pro,google,1,SEMICONDUCTORS,4000,40.0,1,0.019638873266696333,0.007855549306678533,"Strong momentum and fundamental support from AI infrastructure buildout, with global chip sales up 25% QoQ and 79.2% YoY."
CB-2026-05-28-1M,google-gemini-3-1-pro,google,1,TECHNOLOGY,3000,30.0,2,-0.029570117438659782,-0.008871035231597935,Broad tech exposure benefits from the same AI tailwinds and strong software pricing power noted in the briefing.
CB-2026-05-28-1M,google-gemini-3-1-pro,google,1,SOUTH_KOREA,1500,15.0,3,-0.04423235899764122,-0.006634853849646183,"High beta to the semiconductor cycle and strong recent momentum (up 10.7% in 7 days, 132% in 6 months)."
CB-2026-05-28-1M,google-gemini-3-1-pro,google,1,TAIWAN,1500,15.0,4,0.004592510832458041,0.0006888766248687061,"Direct beneficiary of semiconductor and AI hardware demand, showing strong momentum (up 8.33% in 7 days)."
CB-2026-05-28-1M,openai-gpt-5-5,openai,1,SEMICONDUCTORS,4000,40.0,1,0.019638873266696333,0.007855549306678533,"Strongest AI-linked fundamental backdrop, with global chip sales sharply higher and very strong 7-day, 30-day, 6-month, and 1-year momentum."
CB-2026-05-28-1M,openai-gpt-5-5,openai,1,SOUTH_KOREA,2500,25.0,2,-0.04423235899764122,-0.011058089749410305,"Exceptionally strong recent and medium-term momentum, with heavy sensitivity to the global semiconductor and export cycle."
CB-2026-05-28-1M,openai-gpt-5-5,openai,1,TAIWAN,1500,15.0,3,0.004592510832458041,0.0006888766248687061,High semiconductor supply-chain exposure and strong trailing performance support potential continued AI hardware leadership.
CB-2026-05-28-1M,openai-gpt-5-5,openai,1,TECHNOLOGY,1000,10.0,4,-0.029570117438659782,-0.002957011743865978,"Broad technology exposure benefits from AI capex, strong sector momentum, and easier diversification than a pure semiconductor position."
CB-2026-05-28-1M,openai-gpt-5-5,openai,1,MOMENTUM,1000,10.0,5,0.036356512384710715,0.0036356512384710716,"Captures persistence in recent market leaders during a low-volatility, tight-spread risk-on environment."
CB-2026-05-28-1M,xai-grok-4-3,xai,1,SEMICONDUCTORS,5000,50.0,1,0.019638873266696333,0.009819436633348166,Strong 30d momentum and Q1 chip sales growth plus AI infrastructure spend point to continued outperformance into June data window.
CB-2026-05-28-1M,xai-grok-4-3,xai,1,TECHNOLOGY,3000,30.0,2,-0.029570117438659782,-0.008871035231597935,Sector leadership and software price acceleration support relative gains ahead of FOMC and inflation prints.
CB-2026-05-28-1M,xai-grok-4-3,xai,1,MOMENTUM,2000,20.0,3,0.036356512384710715,0.007271302476942143,Factor has led recent returns and should capture continuation of growth tilt through the June 17 FOMC decision.
