option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
BIOTECH,Biotechnology,XBI,139.2581563428,154.26,adj_close,adj_close,0.10772685816887617,1,False,False
CYBERSECURITY,Cybersecurity,CIBR,84.1574712685,92.36,adj_close,adj_close,0.09746643533680155,2,False,False
OIL,Crude Oil,USO,114.23,123.96,adj_close,adj_close,0.08517902477457762,3,False,False
REGIONAL_BANKS,Regional Banks,KRE,70.7405020122,76.69,adj_close,adj_close,0.08410313495900756,4,False,False
HEALTHCARE,Healthcare Sector,XLV,150.0537752226,161.09,adj_close,adj_close,0.07354846461562281,5,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,13.07,13.91,adj_close,adj_close,0.06426931905126243,6,False,False
ENERGY,Energy Sector,XLE,54.2835325771,57.68,adj_close,adj_close,0.06256901976812079,7,False,False
LOW_VOL,US Low Volatility Equities,SPLV,73.1724270453,76.57,adj_close,adj_close,0.046432421226052956,8,False,False
FINANCIALS,Financials Sector,XLF,53.8623513913,56.26,adj_close,adj_close,0.04451436943926801,9,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,16.54,17.25,adj_close,adj_close,0.04292623941958884,10,False,False
REAL_ESTATE,Real Estate Sector,XLRE,43.5925530574,45.42,adj_close,adj_close,0.041921080882638906,11,False,False
SOFTWARE,Software,IGV,89.16,92.8,adj_close,adj_close,0.04082548227904881,12,False,False
SMALL_VALUE,US Small-Cap Value,IWN,213.69,222.34,adj_close,adj_close,0.0404791988394404,13,False,False
DIVIDEND,US Dividend Equities,SCHD,31.67783564,32.91,adj_close,adj_close,0.03889673442348829,14,False,False
AGRICULTURE,Agriculture Commodities,DBA,26.84,27.84,adj_close,adj_close,0.037257824143070106,15,False,False
BRAZIL,Brazil Equities,EWZ,34.11,35.23,adj_close,adj_close,0.0328349457637056,16,False,False
LARGE_VALUE,US Large-Cap Value,IWD,240.38,248.03,adj_close,adj_close,0.03182461103253176,17,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,83.0993882751,85.19,adj_close,adj_close,0.025157967685382365,18,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,208.1854057668,213.37,adj_close,adj_close,0.024903735274352412,19,False,False
UTILITIES,Utilities Sector,XLU,44.1790255467,45.17,adj_close,adj_close,0.022430880741189707,20,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,45.92,46.94,adj_close,adj_close,0.022212543554006814,21,False,False
CANADA,Canada Equities,EWC,58.19,59.45,adj_close,adj_close,0.021653205018044464,22,False,False
COMMUNICATIONS,Communication Services Sector,XLC,108.9108084759,110.65,adj_close,adj_close,0.015968952470726272,23,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,289.88,294.04,adj_close,adj_close,0.014350765834138413,24,False,False
MID_CAP,US Mid-Cap Stocks,IJH,74.98,75.54,adj_close,adj_close,0.0074686583088823255,25,False,False
EUROPE,Europe Equities,VGK,88.0341045121,88.59,adj_close,adj_close,0.0063145469699597,26,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,364.7091278319,367.01,adj_close,adj_close,0.006308786900339092,27,False,False
SP500,S&P 500,SPY,739.0760202617,743.29,adj_close,adj_close,0.005701686460897193,28,True,False
US_DOLLAR,US Dollar,UUP,28.18,28.33,adj_close,adj_close,0.005322924059616652,29,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.3622642443,79.65,adj_close,adj_close,0.0036255991237130747,30,False,False
AUSTRALIA,Australia Equities,EWA,28.65,28.75,adj_close,adj_close,0.003490401396160525,31,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.262779785,91.55,adj_close,adj_close,0.0031471780245642123,32,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,107.973895124,108.27,adj_close,adj_close,0.0027423746791754855,33,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,115.2561385364,115.44,adj_close,adj_close,0.001595242265920005,34,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,93.7099995878,93.84,adj_close,adj_close,0.0013872629684328341,35,False,False
INDUSTRIALS,Industrials Sector,XLI,179.1623491514,179.41,adj_close,adj_close,0.0013822706041364263,36,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,37,False,True
BITCOIN_ETF,Bitcoin ETF,IBIT,36.36,36.35,adj_close,adj_close,-0.0002750275027502136,38,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.853298049,93.78,adj_close,adj_close,-0.0007809853305499326,39,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,98.2800504232,98.2,adj_close,adj_close,-0.0008145134526823528,40,False,False
CHINA,China Equities,MCHI,53.0,52.95,adj_close,adj_close,-0.0009433962264150386,41,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,106.6931570277,106.58,adj_close,adj_close,-0.0010605837417541064,42,False,False
INDIA,India Equities,INDA,49.06,48.91,adj_close,adj_close,-0.0030574806359561224,43,False,False
EURO,Euro,FXE,105.9792125507,105.61,adj_close,adj_close,-0.003483820475863264,44,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,95.8808433161,95.53,adj_close,adj_close,-0.0036591596815991334,45,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,48.198963647,47.93,adj_close,adj_close,-0.005580278633578906,46,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,108.3887197434,107.56,adj_close,adj_close,-0.007645811716956441,47,False,False
YEN,Japanese Yen,FXY,57.09,56.51,adj_close,adj_close,-0.010159397442634499,48,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,86.0101472506,84.52,adj_close,adj_close,-0.017325249383172148,49,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,121.6,119.38,adj_close,adj_close,-0.01825657894736843,50,False,False
COPPER,Copper,CPER,38.64,37.92,adj_close,adj_close,-0.01863354037267073,51,False,False
MATERIALS,Materials Sector,XLB,51.8259858778,50.53,adj_close,adj_close,-0.02500648768854663,52,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,71.6263661277,69.7,adj_close,adj_close,-0.026894651115841106,53,False,False
MEXICO,Mexico Equities,EWW,77.31,75.11,adj_close,adj_close,-0.028456861984219373,54,False,False
EMERGING_MARKETS,Emerging Markets,VWO,59.7402031525,57.84,adj_close,adj_close,-0.03180777855156114,55,False,False
NASDAQ100,Nasdaq 100,QQQ,721.7144075433,695.33,adj_close,adj_close,-0.036557961525407134,56,False,False
JAPAN,Japan Equities,EWJ,94.45,90.49,adj_close,adj_close,-0.04192694547379572,57,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,242.79,230.73,adj_close,adj_close,-0.049672556530334866,58,False,False
GOLD,Gold,IAU,79.64,75.5,adj_close,adj_close,-0.05198392767453541,59,False,False
TECHNOLOGY,Technology Sector,XLK,185.5798751289,175.59,adj_close,adj_close,-0.053830595165349826,60,False,False
SOUTH_AFRICA,South Africa Equities,EZA,66.51,62.36,adj_close,adj_close,-0.062396632085400805,61,False,False
TAIWAN,Taiwan Equities,EWT,105.11,97.33,adj_close,adj_close,-0.07401769574731232,62,False,False
SOLAR,Solar Energy,TAN,58.45,53.9,adj_close,adj_close,-0.07784431137724557,63,False,False
MOMENTUM,US Momentum Equities,MTUM,328.27,302.09,adj_close,adj_close,-0.07975142413257386,64,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,64.329547229,58.7,adj_close,adj_close,-0.08751106562214661,65,False,False
SEMICONDUCTORS,Semiconductors,SMH,623.97,556.53,adj_close,adj_close,-0.10808211933266032,66,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,131.44,116.14,adj_close,adj_close,-0.11640292148508824,67,False,False
SILVER,Silver,SLV,60.61,50.78,adj_close,adj_close,-0.1621844580102293,68,False,False
METALS_MINING,Metals and Mining,XME,118.3076867236,98.35,adj_close,adj_close,-0.16869306869490885,69,False,False
SOUTH_KOREA,South Korea Equities,EWY,205.08,162.54,adj_close,adj_close,-0.20743124634289067,70,False,False
