round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-07-07-1M,anthropic-claude-fable-5,anthropic,1,FINANCIALS,2500,25.0,1,0.027653880463871516,0.006913470115967879,JPMorgan and Wells Fargo Q2 earnings July 14 as near-term catalysts; solid economy with Fed on hold supports net interest margins; low drawdown and beta cushion versus tech volatility.
CB-2026-07-07-1M,anthropic-claude-fable-5,anthropic,1,HEALTHCARE,2000,20.0,2,0.007540744344441741,0.0015081488688883484,"Defensive sector with improving relative strength backed by broad rotation from stretched tech; earnings season catalyst and low beta help in a cooling-labor-market, elevated-inflation environment."
CB-2026-07-07-1M,anthropic-claude-fable-5,anthropic,1,LARGE_VALUE,2000,20.0,3,0.03963833050779031,0.007927666101558062,Value tilt benefits from rotation out of expensive mega-cap growth after tech drawdown; higher oil and elevated inflation support energy/financial-heavy value; at 52-week high with low volatility.
CB-2026-07-07-1M,anthropic-claude-fable-5,anthropic,1,ENERGY,1500,15.0,4,0.05234260614934105,0.007851390922401157,"Cancellation of Iranian oil sales license and Strait of Hormuz uncertainty create supply-risk upside; sector lagged 30d despite rising oil, offering catch-up potential; negative beta hedges equity risk."
CB-2026-07-07-1M,anthropic-claude-fable-5,anthropic,1,BIOTECH,2000,20.0,5,-0.03966558857631053,-0.007933117715262106,"Strong 30d outperformance supported by broad risk appetite in healthcare and M&A-friendly conditions; briefing support beyond price trend is limited, so sized moderately with reversal risk noted."
CB-2026-07-07-1M,anthropic-claude-opus-4-7,anthropic,1,FINANCIALS,2500,25.0,1,0.027653880463871516,0.006913470115967879,"Bank earnings catalyst July 14 (JPM, WFC); sector leadership with strong breadth and low drawdown."
CB-2026-07-07-1M,anthropic-claude-opus-4-7,anthropic,1,HEALTHCARE,2000,20.0,2,0.007540744344441741,0.0015081488688883484,Defensive sector leading recently at new highs; low beta cushion vs tech weakness.
CB-2026-07-07-1M,anthropic-claude-opus-4-7,anthropic,1,LARGE_VALUE,2000,20.0,3,0.03963833050779031,0.007927666101558062,"Value outperforming amid tech rotation; solid breadth, low vol, at 52w highs."
CB-2026-07-07-1M,anthropic-claude-opus-4-7,anthropic,1,LOW_VOL,1500,15.0,4,-0.007389847630567714,-0.001108477144585157,Elevated policy/CPI/FOMC event risk over window; defensive posture with near-zero beta.
CB-2026-07-07-1M,anthropic-claude-opus-4-7,anthropic,1,AEROSPACE_DEFENSE,2000,20.0,5,0.023010077108237104,0.004602015421647421,Iran/Hormuz geopolitical tension and sanctions news support defense; strong recent breadth.
