round_id,model_id,provider,replicate_index,option_id,allocation_bps,allocation_pct,allocation_rank,option_return,return_contribution,rationale
CB-2026-08-19-1M,anthropic-claude-fable-5,anthropic,1,SEMICONDUCTORS,3500,35.0,1,0.021536047921272283,0.007537616772445298,V3 selected model rank 1: overreaction with 58% estimated probability of beating SPY.
CB-2026-08-19-1M,anthropic-claude-fable-5,anthropic,1,BRAZIL,3500,35.0,2,0.09515469935785181,0.03330414477524813,V3 selected model rank 2: overreaction with 56% estimated probability of beating SPY.
CB-2026-08-19-1M,anthropic-claude-fable-5,anthropic,1,UTILITIES,3000,30.0,3,-0.06633348477964562,-0.019900045433893686,V3 selected model rank 3: overreaction with 55% estimated probability of beating SPY.
CB-2026-08-19-1M,anthropic-claude-opus-5,anthropic,1,LARGE_VALUE,3500,35.0,1,-0.027321559686207753,-0.009562545890172712,V3 selected model rank 1: overreaction with 56% estimated probability of beating SPY.
CB-2026-08-19-1M,anthropic-claude-opus-5,anthropic,1,SMALL_VALUE,3500,35.0,2,-0.04445724923540628,-0.015560037232392198,V3 selected model rank 2: overreaction with 55% estimated probability of beating SPY.
CB-2026-08-19-1M,anthropic-claude-opus-5,anthropic,1,SP500,3000,30.0,3,-0.009583127454294682,-0.0028749382362884047,Deterministic SPY fallback for V3 slots without an eligible active candidate.
CB-2026-08-19-1M,google-gemini-3-1-pro,google,1,SOLAR,3500,35.0,1,-0.09530414107390539,-0.03335644937586688,V3 selected model rank 1: overreaction with 60% estimated probability of beating SPY.
CB-2026-08-19-1M,google-gemini-3-1-pro,google,1,BRAZIL,3500,35.0,2,0.09515469935785181,0.03330414477524813,V3 selected model rank 2: overreaction with 58% estimated probability of beating SPY.
CB-2026-08-19-1M,google-gemini-3-1-pro,google,1,LONG_TREASURY,3000,30.0,3,-0.021320163815947923,-0.006396049144784377,V3 selected model rank 3: overreaction with 55% estimated probability of beating SPY.
CB-2026-08-19-1M,openai-gpt-5-6-sol,openai,1,SMALL_VALUE,3500,35.0,1,-0.04445724923540628,-0.015560037232392198,V3 selected model rank 1: overreaction with 58% estimated probability of beating SPY.
CB-2026-08-19-1M,openai-gpt-5-6-sol,openai,1,LARGE_VALUE,3500,35.0,2,-0.027321559686207753,-0.009562545890172712,V3 selected model rank 2: overreaction with 57% estimated probability of beating SPY.
CB-2026-08-19-1M,openai-gpt-5-6-sol,openai,1,INVESTMENT_GRADE_CREDIT,3000,30.0,3,-0.01754715210659652,-0.005264145631978956,V3 selected model rank 3: overreaction with 56% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-3,xai,1,US_DOLLAR,3500,35.0,1,0.018292661034736035,0.006402431362157612,V3 selected model rank 1: overreaction with 62% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-3,xai,1,LONG_TREASURY,3500,35.0,2,-0.021320163815947923,-0.007462057335581773,V3 selected model rank 2: overreaction with 58% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-3,xai,1,UTILITIES,3000,30.0,3,-0.06633348477964562,-0.019900045433893686,V3 selected model rank 3: overreaction with 55% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-5,xai,1,LONG_TREASURY,3500,35.0,1,-0.021320163815947923,-0.007462057335581773,V3 selected model rank 1: overreaction with 58% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-5,xai,1,UTILITIES,3500,35.0,2,-0.06633348477964562,-0.023216719672875967,V3 selected model rank 2: overreaction with 56% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-5,xai,1,INVESTMENT_GRADE_CREDIT,3000,30.0,3,-0.01754715210659652,-0.005264145631978956,V3 selected model rank 3: overreaction with 55% estimated probability of beating SPY.
CB-2026-08-19-1M,xai-grok-4-6,xai,1,SP500,10000,100.0,1,-0.009583127454294682,-0.009583127454294682,Deterministic SPY fallback for V3 slots without an eligible active candidate.
